Random Forest,Logistic Regression - Stepwise,SGBAP,Pop. Density,Alpha Cases
0.084666667,0.302943595,0.127569624,0.000309475,0.009686857
0.088666667,0.140024995,0.122640151,0.002621602,0.006652829
0.083333333,0.123039283,0.105800747,0.000404777,0.001245307
0.056666667,0.059154209,0.098305044,0.000272009,0.000884051
0.074666667,0.168774006,0.124202331,0.002012433,0.012874199
0.135333333,0.402835531,0.147248971,0.00039677,0.008454653
0.124666667,0.184382767,0.116543836,0.00107153,0.003893764
0.11,0.30328192,0.155075084,0.000419515,0.003073649
0.104666667,0.346306324,0.126593162,0.000755673,0.006205791
0.123333333,0.170484443,0.112796875,0.000315203,0.010861532
0.059333333,0.193797969,0.111057326,0.000676456,0.002624527
0.075333333,0.102330961,0.077125591,0.000323612,0.00404663
0.111333333,0.189201825,0.101077513,0.000376596,0.000659747
0.813333333,0.451443162,0.149614771,0.001122947,0.027895984
0.069333333,0.122655388,0.106610346,0.000552433,0.012865505
0.162,0.419383498,0.10998173,0.000181146,0.011656419
0.719333333,0.172533972,0.123580543,0.000393192,0.039667675
0.17,0.551654099,0.141053541,0.000215925,0.003736131
0.757333333,0.48076551,0.156917548,0.000337948,0.689393939
0.132666667,0.22476821,0.125497105,0.000323266,0
0.114,0.243893261,0.133935138,0.000425905,0.00154155
0.096666667,0.315907995,0.133486416,0.001299421,0.006168989
0.063333333,0.134063435,0.126592235,0.000266925,0.000665438
0.058666667,0.059149713,0.062170867,0.000381652,0.000660735
0.092666667,0.210180744,0.13270682,0.000970061,0.008669818
0.132666667,0.212530075,0.113405893,0.000659548,0.005155488
0.092,0.395399524,0.121495025,0.00016519,0.006584273
0.093333333,0.306831194,0.157083719,0.000159527,0.001227499
0.138666667,0.30882599,0.161973502,0.000189074,0.001336682
0.113333333,0.205258822,0.139448866,0.000132166,0.004268143
0.130666667,0.363441109,0.153734737,0.000456044,0.00283046
0.119333333,0.161280235,0.128327457,0.00025921,0.007385186
0.138666667,0.209742324,0.097263594,0.000379237,0.003101536
0.101333333,0.183204031,0.140117617,0.000249225,0.003087415
0.120666667,0.308665869,0.116048453,0.000439693,0.010313952
0.052,0.086447021,0.11142834,0.000325754,0.004420077
0.070666667,0.126320252,0.104686357,0.001086589,0.007402657
0.126666667,0.278412507,0.121224385,0.000176082,0.002736369
0.158666667,0.482369915,0.171840334,0.007194959,0.014579068
0.086666667,0.157405865,0.101137353,0.000374059,0.010441873
0.14,0.383409321,0.141574875,0.000574349,0.006036005
0.100666667,0.270806334,0.138223172,0.00226307,0.001072882
0.1,0.23480535,0.133139054,0.000161896,0.008397642
0.102666667,0.131013077,0.101324613,0.000164567,0.001121781
0.088,0.223435651,0.131588666,0.003325311,0.007134317
0.115333333,0.220164903,0.140820951,0.000421716,0.00632399
0.692666667,0.127607319,0.089045733,0.00039082,0.036629397
0.122666667,0.010134967,0.033782507,0.000284334,0.006174006
0.112666667,0.611668476,0.177330072,0.000530103,0.014257669
0.696666667,0.173869956,0.116115311,0.000325736,0.01866718
0.122,0.025974168,0.111808528,0.003366402,0.00396596
0.096666667,0.236898035,0.154233383,0.00105611,0.004762108
0.112,0.237175004,0.110212519,0.000157011,0.001745301
0.114666667,0.303403233,0.128506689,0.000321377,0.001550579
0.163333333,0.485009052,0.234432788,0.03093995,0.010566151
0.748666667,0.02225653,0.098143535,2.10E-05,0.019539952
0.086666667,0.183784758,0.118854375,0.000882501,0.002219824
0.036,0.173985997,0.124804971,0.001925277,0.000905831
0.059333333,0.103766051,0.093090501,0.000614967,0.003123711
0.121333333,0.30268932,0.07755016,0.00025836,0.001535755
0.092666667,0.41554991,0.203821733,0.021932806,0.008606024
0.063333333,0.308738622,0.140800514,0.000377737,0.001189807
0.048666667,0.138113578,0.140460943,0.001516374,0.002516728
0.085333333,0.34175757,0.122423381,0.002277922,0.006315011
0.073333333,0.223212622,0.101493432,0.000294144,0.001553947
0.042666667,0.126765452,0.113507026,0.000527564,0.00431259
0.768,0.384311288,0.131339238,0.000598338,0.019599689
0.096,0.179487888,0.120436819,2.41E-05,0.012229395
0.096666667,0.327322763,0.115090479,0.00150652,0.010942056
0.079333333,0.232009013,0.091782212,0.001497599,0.006274594
0.040666667,0.20212304,0.125443764,0.000708022,0.001027891
0.092,0.164985774,0.053877948,9.48E-05,0.001082357
0.739333333,0.955574358,0.35668296,0.034533988,0.025512592
0.103333333,0.283170627,0.109941146,0.001006245,0.003295202
0.187333333,0.442924952,0.214370163,0.006940604,0.010270618
0.056,0.091258651,0.105198912,0.000167503,0.001923555
0.037333333,0.161572963,0.109898468,0.000345513,0.001398671
0.152,0.424045024,0.160139246,0.001928766,0.004846215
0.028666667,0.12303732,0.082681286,3.12E-05,0
0.728,0.357296875,0.161361595,6.40E-05,0.019091497
0.106666667,0.315880236,0.138044811,0.001831576,0.005412729
0.082666667,0.341309967,0.155395796,0.002605853,0.005525402
0.048,0.121027879,0.126913537,0.001435403,0.004644105
0.157333333,0.582727719,0.237908831,0.05539267,0.010211661
0.094,0.164577477,0.14923346,0.003748356,0.004098333
0.056666667,0.080827354,0.092725867,0.000101133,0.002345999
0.702666667,0.378406095,0.176772199,0.004589314,0.017122212
0.091333333,0.256092754,0.16892226,0.021706709,0.007604371
0.084,0.174964229,0.123912946,0.000593309,0.008078492
0.138,0.481899258,0.17708764,0.001476895,0.01023046
0.099333333,0.209689268,0.167716066,0.0108908,0.011775948
0.787333333,0.924866604,0.405123367,0.257664673,0.018993839
0.072,0.312311675,0.152680067,0.007297848,0.007974431
0.091333333,0.170828531,0.102756741,0.00118296,0.007207795
0.732,0.253576187,0.200150191,0.023693942,0.017209375
0.078666667,0.241366811,0.135988182,0.002251106,0.012154359
0.161333333,0.592583998,0.2241749,0.020662407,0.012455816
0.109333333,0.311948101,0.186472645,0.008535301,0.00508694
0.049333333,0.208580896,0.126347541,0.000657816,0.001898819
0.057333333,0.109847813,0.095215347,4.21E-05,0
0.011333333,0.121807359,0.098582451,9.57E-05,0.001266715
0.058666667,0.162124741,0.132127524,0.00740588,0.005889163
0.070666667,0.297765033,0.160499728,0.004414575,0.005199016
0.078,0.242361909,0.148758976,0.005002633,0.007651865
0.065333333,0.141084684,0.106036615,0.002207799,0.003184957
0.057333333,0.191399908,0.10610736,0.000297718,0.000169478
0.042,0.091736246,0.13042376,5.56E-05,0
0.084666667,0.270889206,0.101328501,0.001324176,0.015213558
0.041333333,0.108699407,0.089049907,0.000336513,0.000607418
0.084666667,0.199402808,0.137557335,0.006388027,0.007144874
0.107333333,0.492664426,0.212895932,0.002939766,0.008203944
0.059333333,0.134348324,0.0919115,0.001657264,0.0021032
0.756,0.390181751,0.150180659,0.005915248,0.047517487
0.098666667,0.156280236,0.094763165,0.000315327,0.015628471
0.798666667,0.400797056,0.170849387,0.011073316,0.058848218
0.093333333,0.094274031,0.095770678,0.000132176,0.006290001
0.659333333,0.055895636,0.079113326,1.88E-05,0.036962758
0.090666667,0.321440842,0.11304085,5.28E-05,0
0.808666667,0.529261028,0.21998838,0.006133374,0.025496476
0.828666667,0.355844412,0.187017111,0.027804338,0.029741823
0.788666667,0.277293889,0.185087518,0.000261936,0.03901463
0.063333333,0.072508406,0.104678869,1.54E-05,0.006024196
0.742,0.314805342,0.159472274,0.000328857,0.01705717
0.078,0.105319347,0.076489891,8.73E-05,0.001344339
0.07,0.158632671,0.070414404,4.12E-05,0.008513226
0.119333333,0.127649825,0.083911632,9.87E-05,0.007279527
0.077333333,0.115064823,0.10098888,8.67E-05,0.004352921
0.673333333,0.277727266,0.116811741,0.000368237,0.022653854
0.796,0.646823978,0.242701578,0.062779741,0.062355459
0.139333333,0.06173995,0.074079382,2.34E-05,0
0.827333333,0.37573742,0.180489166,0.005427309,0.020448941
0.884,0.393811726,0.207577838,0.000447341,0.110449095
0.714,0.175327041,0.138281025,0.000188164,0.018235753
0.095333333,0.227165856,0.130708943,0.004490012,0.015681526
0.061333333,0.219793164,0.097769352,0.000424983,0.00507257
0.751333333,0.435196152,0.188054362,0.000275113,0.025527582
0.142666667,0.31897287,0.158272042,0.000547979,0.003533655
0.142666667,0.157141195,0.146320366,0.000112727,0.003505244
0.8,0.359741603,0.206189874,7.03E-05,0.107384693
0.736666667,0.095430069,0.139632446,1.04E-05,0.040354767
0.04,0.147839424,0.094675216,5.69E-05,0.00319858
0.051333333,0.086023819,0.102712067,1.06E-05,0
0.838666667,0.347826438,0.16602214,0.01035783,0.031697306
0.088666667,0.051600432,0.100271655,1.09E-05,0
0.675333333,0.075360305,0.061936471,4.85E-05,0.037301292
0.135333333,0.390189207,0.173272333,0.000278774,0.014126071
0.766,0.184213172,0.147713686,0.000452044,0.035288283
0.142,0.370436929,0.170103141,0.001807516,0.014680327
0.040666667,0.128632351,0.092530781,4.07E-05,0.004562375
0.11,0.101442137,0.068949115,2.94E-05,0.005804404
0.686,0.127830721,0.085425211,0.000163203,0.14373013
0.06,0.158380173,0.117544741,0.000624842,0.003862502
0.736666667,0.086809011,0.1226664,1.25E-05,0.028687394
0.064666667,0.20773979,0.126839845,3.77E-05,0.004982445
0.056,0.141501533,0.110264337,0.000176677,0.007582991
0.688,0.124471423,0.119544312,0.000255066,0.035083989
0.715333333,0.132046438,0.073318128,0.000305751,0.172656801
0.048,0.142527445,0.076470498,0.000201019,0.006034743
0.112666667,0.155363364,0.129915492,0.000120488,0.015592108
0.113333333,0.193301731,0.148627917,0.000109506,0.008779758
0.668666667,0.112610142,0.082299169,8.66E-05,0.0206899
0.858,0.377604031,0.230842538,0.000255539,0.036008194
0.062666667,0.128596784,0.064860613,0.000101575,0.009968233
0.079333333,0.220794585,0.105530151,0.000957378,0.011395482
0.074,0.11421582,0.107997431,2.73E-05,0.001744197
0.089333333,0.262792123,0.108768304,0.00017223,0.006852944
0.847333333,0.407363944,0.201045944,0.000145638,0.026244188
0.068,0.131412162,0.10401772,2.78E-05,0.008081992
0.789333333,0.35481849,0.22101228,1.90E-05,0.03030303
0.814666667,0.223323977,0.169142288,8.54E-05,0.028320866
0.059333333,0.05033951,0.067745462,5.90E-05,0
0.865333333,0.296827023,0.208714353,0.000693693,0.055131952
0.108666667,0.170933866,0.127227484,0.000600258,0.013034075
0.654666667,0.061476664,0.065057112,2.62E-05,0.02247413
0.729333333,0.253662006,0.120207799,0.001027053,0.073355873
0.066,0.114256633,0.078786015,5.86E-05,0.012110324
0.944,0.706934333,0.260288736,0.020970763,0.132059808
0.954,0.727389572,0.21447509,0.016895148,0.069282653
0.827333333,0.430280562,0.176332979,0.002759065,0.05890315
0.913333333,0.533301852,0.192065391,0.006138956,0.044613935
0.963333333,0.719431216,0.222451146,0.019728496,0.097249117
0.880666667,0.559753086,0.168354773,0.005609865,0.02345758
0.868666667,0.545563738,0.176566658,0.005115612,0.031981226
0.808666667,0.546923948,0.164255308,0.00315274,0.017568087
0.785333333,0.405388588,0.127418487,0.004141294,0.046308896
0.926,0.595155557,0.186409825,0.018071853,0.03423077
0.774,0.360999218,0.129171477,0.003254325,0.104357569
0.850666667,0.947404819,0.364321674,0.155390821,0.067565098
0.082,0.377966853,0.150234336,0.00417321,0.010946544
0.134,0.267590976,0.109264378,0.000658403,0.007552416
0.072666667,0.381121612,0.136942415,0.003338321,0.004545845
0.743333333,0.368131454,0.125752812,0.001273224,0.017992055
0.07,0.238358643,0.132431828,0.00788511,0.00522249
0.776,0.616613335,0.216617024,0.022022935,0.027977113
0.164,0.501904868,0.116375104,0.000352827,0.006256109
0.062,0.188883085,0.122361033,0.003605217,0.01377985
0.092666667,0.318742186,0.128336118,0.003412136,0.007296685
0.081333333,0.289721481,0.14866717,0.004756458,0.0137343
0.762666667,0.339126711,0.159793209,0.002529525,0.01707983
0.106666667,0.189593291,0.097689298,0.001202024,0.008924442
0.126666667,0.48749123,0.115931637,0.000792912,0.008417641
0.148666667,0.453044003,0.120787455,0.000323016,0.004588858
0.099333333,0.454382619,0.160391364,0.016812292,0.011655034
0.727333333,0.493649695,0.135568726,0.006580478,0.017533939
0.052,0.181882926,0.126775664,0.003064441,0.012747806
0.135333333,0.271463921,0.149618453,0.000298269,0.001819431
0.773333333,0.436968591,0.128362351,0.001236484,0.022949601
0.116,0.268338882,0.069907799,0.000698588,0.002968007
0.128666667,0.257747411,0.111170891,0.000229408,0.004791964
0.14,0.433384068,0.119075249,0.000402111,0.000808733
0.126,0.226458016,0.075114183,0.000384929,0.00458704
0.131333333,0.57312816,0.159547378,0.000592174,0.007370734
0.758,0.393736009,0.140861359,0.000481144,0.021786568
0.082666667,0.336792758,0.146554613,0.005362655,0.005119262
0.107333333,0.255104131,0.120549172,0.001392428,0.00841128
0.180666667,0.721594743,0.225148153,0.018727399,0.008422779
0.134,0.397714149,0.131570399,0.000562623,0.005622829
0.078666667,0.146930362,0.117934107,0.004167199,0.006207533
0.155333333,0.365381144,0.11449963,0.000732162,0.003327105
0.774666667,0.414833109,0.128311082,0.000326797,0.021679663
0.151333333,0.074979473,0.114875162,0.000222821,0.001309701
0.049333333,0.327951027,0.14209582,0.004895239,0.006820365
0.076,0.358009208,0.160076684,0.0127541,0.014614944
0.107333333,0.438877932,0.140690424,0.005995717,0.008228149
0.122666667,0.320039723,0.118375939,0.00049545,0.005049653
0.142666667,0.704425721,0.127266802,0.000138426,0.003961086
0.77,0.303626765,0.118201104,0.000367587,0.032805206
0.082,0.426356714,0.15733686,0.006981528,0.015864918
0.059333333,0.353091886,0.127150146,0.003043371,0.005280126
0.116,0.141341698,0.13822727,0.004021325,0.013085639
0.837333333,0.818487476,0.250954351,0.0198482,0.048973678
0.108,0.175087715,0.184992367,0.001077064,0.011739424
0.107333333,0.26768827,0.130540365,0.001723471,0.006969782
0.08,0.446548034,0.154676486,0.002994395,0.008060562
0.098,0.270136496,0.13999607,0.000731852,0.002877379
0.122,0.557556481,0.194281128,0.020315981,0.010963399
0.106666667,0.41385187,0.155695911,0.0035391,0.014031858
0.806,0.403347204,0.177666457,0.010211225,0.021835544
0.092666667,0.508957629,0.176415988,0.009490122,0.004958138
0.118,0.589446107,0.21437085,0.048562385,0.008247307
0.118,0.415925116,0.137364425,0.005163338,0.007350725
0.085333333,0.291291842,0.117819531,0.001386958,0.0156897
0.094666667,0.26037608,0.169693737,0.005440465,0.009216206
0.080666667,0.233230409,0.122397314,0.007418265,0.008951558
0.088666667,0.403124855,0.150213367,0.002336069,0.008860226
0.103333333,0.398782584,0.15846715,0.010271239,0.008668477
0.105333333,0.403551502,0.169551797,0.020413118,0.008298842
0.106666667,0.157453596,0.087917636,0.003013789,0.015076913
0.753333333,0.340266059,0.105693261,0.00088483,0.032283571
0.114666667,0.340602656,0.114172898,0.000293441,0.001534188
0.130666667,0.255723278,0.07871295,0.000867856,0.002895663
0.065333333,0.341704242,0.14880575,0.006649121,0.009011099
0.16,0.481356411,0.139308044,0.000729031,0.007519398
0.107333333,0.471064764,0.154968991,0.000880264,0.00565878
0.136666667,0.381489798,0.143109657,0.000582616,0.005196233
0.784666667,0.188357786,0.089177115,0.00050338,0.041995062
0.183333333,0.408278919,0.123160973,0.000334182,0.0108074
0.783333333,0.193114153,0.0908982,0.000548017,0.023712583
0.766666667,0.105848859,0.106414709,0.000128913,0.08350789
0.749333333,0.275186007,0.115301829,0.002428987,0.052829475
0.161333333,0.339086943,0.139842825,0.00110652,0.013763506
0.8,0.477078663,0.140217749,0.006625878,0.017624103
0.778666667,0.385988841,0.149174777,0.003129065,0.032045192
0.776,0.295820729,0.099595916,0.000951319,0.01651243
0.16,0.250590257,0.087570535,0.000581874,0.009667224
0.784,0.350456172,0.122479837,0.008540996,0.021965685
0.181333333,0.218451963,0.089698156,0.000820812,0.013709691
0.1,0.125781231,0.110089099,0.000580962,0.013276308
0.774666667,0.278764042,0.112560003,0.000439182,0.041389505
0.129333333,0.140188742,0.129079942,0.001137722,0.014474367
0.091333333,0.059457537,0.069671185,0.001534926,0.005126636
0.739333333,0.200642799,0.115077437,0.000377901,0.04188785
0.758,0.39327491,0.155036208,0.001793913,0.062370578
0.79,0.276417004,0.107868414,0.000317662,0.176442075
0.074666667,0.094937266,0.067827034,0.0011602,0.006658618
0.16,0.166001218,0.058906536,0.000617705,0.007147285
0.802,0.269030324,0.113292181,0.003226224,0.032909265
0.130666667,0.223836591,0.097149387,0.005673688,0.007671267
0.135333333,0.240667783,0.14747783,0.000230467,0.006589189
0.097333333,0.144849445,0.110133244,0.009197474,0.008612958
0.128666667,0.101467814,0.076469322,0.000600246,0.012135659
0.084,0.340964188,0.1351768,0.001098743,0.007119482
0.802666667,0.47632979,0.199153224,0.007972719,0.019906063
0.152,0.463947256,0.169287565,0.014504891,0.012892796
0.797333333,0.332209089,0.103784364,0.000212632,0.085626911
0.836666667,0.58952574,0.172107414,0.027298487,0.02690999
0.126666667,0.165768415,0.061196195,0.000114311,0.0133337
0.888,0.546515826,0.213024592,0.030434294,0.023420535
0.765333333,0.331726906,0.114418014,0.001006144,0.035176249
0.806666667,0.465988858,0.106205482,0.001156566,0.044750133
0.113333333,0.409265624,0.133298082,0.007046815,0.011261588
0.151333333,0.398445642,0.130233291,0.001044224,0.014690039
0.228,0.331788463,0.158903909,0.004422337,0.014483359
0.164,0.171142077,0.070717813,0.000526758,0.013338806
0.752,0.208802643,0.10338231,0.001162365,0.08135169
0.089333333,0.206678988,0.094574126,0.001293942,0.009582045
0.766,0.325992832,0.172287129,0.001570239,0.025771736
0.762666667,0.373353729,0.124317445,0.000623101,0.02943169
0.928,0.700089304,0.230866943,0.038525735,0.034255599
0.168666667,0.372807082,0.128009284,0.000584876,0.013918363
0.776,0.235975165,0.094906751,0.000490997,0.106266549
0.784,0.314128519,0.119230545,0.003844499,0.188737619
0.839333333,0.402705008,0.17846485,0.009837519,0.02404397
0.806666667,0.520329824,0.111543159,0.000279657,0.230564725
0.157333333,0.344792821,0.138022554,0.000131336,0.013767228
0.125333333,0.156773078,0.100429526,0.001700694,0.006004426
0.114,0.274530432,0.094960048,0.000758923,0.013217514
0.099333333,0.235167008,0.112491042,0.000458299,0.010228577
0.108666667,0.178838039,0.124483236,0.000813486,0.004141281
0.086666667,0.246536803,0.131552614,0.000893281,0.012214709
0.824666667,0.377105001,0.188275822,0.007951548,0.016966582
0.166,0.399610849,0.13481392,0.002635282,0.016125847
0.24,0.5268989,0.220636368,0.013589449,0.013457537
0.147333333,0.302215802,0.119069727,0.001194101,0.008503381
0.887333333,0.741095598,0.255530509,0.026924859,0.029142874
0.767333333,0.26766193,0.148561645,0.000973828,0.023910887
0.156,0.225322594,0.132215741,0.000290004,0
0.067333333,0.142438305,0.092474882,0.002777332,0.00711282
0.764,0.224149656,0.128872867,0.002214496,0.017507511
0.770666667,0.207910945,0.091456037,0.000760626,0.028210494
0.755333333,0.204133728,0.106302304,0.000607259,0.032505805
0.87,0.623541235,0.217741891,0.029084661,0.021053299
0.777333333,0.286746551,0.169668824,0.002219902,0.062539443
0.816666667,0.43248799,0.156972463,0.006920073,0.071866033
0.768666667,0.249459993,0.109982737,0.000250944,0.058692638
0.150666667,0.316112948,0.143002656,0.001423724,0.009996582
0.788,0.256195558,0.096222635,0.001004523,0.018782444
0.136666667,0.229050431,0.117119121,0.00153,0.004209236
0.138666667,0.210221572,0.133596793,0.000546986,0.009251282
0.852666667,0.44974235,0.17367382,0.00963847,0.023136451
0.1,0.204345852,0.100357034,0.00559743,0.015581597
0.796,0.310622688,0.110344888,0.000362467,0.017571638
0.146,0.293010373,0.134355723,0.002686219,0.014056733
0.805333333,0.27530593,0.137848527,0.000518755,0.016290623
0.152666667,0.36681263,0.126304719,0.000628206,0.012405898
0.118,0.235592629,0.119327732,0.000415198,0.010052353
0.743333333,0.126753323,0.087133818,0.0003522,0.02034173
0.742,0.270451112,0.067076113,0.000445131,0.05604945
0.163333333,0.278658937,0.10636327,0.001005246,0.010748164
0.794666667,0.330146814,0.130203301,0.001399675,0.021971563
0.204666667,0.40849041,0.118545424,0.000731494,0.008466125
0.142,0.278813343,0.102902044,0.000814673,0.013919534
0.772666667,0.2483513,0.09093343,0.001143996,0.116952399
